date,habit,value
2025-11-05,Read,0.0
2025-11-05,Drink Water,0.0
2025-11-05,Drink Water,0.0
2025-11-05,Drink Water,0.0
2025-11-05,Drink Water,0.0
2025-11-05,Drink Water,0.0
2025-11-05,Drink Water,0.0
2025-11-05,Drink Water,0.0
2025-11-05,Drink Water,0.0
2025-11-06,Drink Water,5.0
2025-11-06,Drink Water,5.0
2025-11-08,Drink Water,0.0
2025-11-08,Drink Water,3.0
2025-11-09,Exercise,33.0
2025-11-09,Read,0.0
2025-11-09,Read,0.0
2025-11-09,Read,0.0
2025-11-09,Read,0.0
2025-11-09,Read,0.0
2025-11-09,Read,0.0
2025-11-09,Read,0.0
2025-11-09,Read,0.0
2025-11-09,Read,0.0
2025-11-09,Read,0.0
2025-11-09,Read,0.0
2025-11-09,Read,0.0
2025-11-09,Read,0.0
2025-11-09,Read,23.0
2025-11-09,Exercise,1.0
2025-11-09,Exercise,18.0
2025-11-09,Read,15.0
2025-11-09,drink water,13.0
